Route ID,Departure City,Arrival City,Departure Time,Arrival Time,Train Type,Days of Operation,First Class ticket rate (in euro),Second Class ticket rate (in euro)
R00689,Cluj-Napoca,Timișoara,18:45,02:11 (+1d),Nightjet,Mon-Fri,305,167
R00692,Cologne,Bonn,09:55,14:23,RegioExpress,"Mon,Wed,Fri",51,43
R00696,Cologne,Brussels,09:25,12:52,RE,Fri-Sun,58,42
R00705,Cologne,Heidelberg,09:10,10:28,ICE,Mon-Fri,52,32
R00707,Cologne,Würzburg,15:50,17:42,AVE,Mon-Fri,71,46
R00708,Cologne,Würzburg,09:15,13:11,RE,Daily,38,28
R00711,Como,Bergamo,10:40,14:50,RegioExpress,Fri-Sun,50,39
R00712,Como,Bergamo,16:05,18:00,Railjet,Mon-Fri,55,41
R00714,Como,Brescia,06:55,10:18,Italo,"Mon,Wed,Fri",143,86
R00715,Como,Brescia,12:20,16:00,Intercités,"Tue,Thu",75,51
R00718,Como,Milan,09:15,11:07,InterCity,Sat-Sun,36,25
R00721,Como,Turin,11:15,14:16,InterCity,Fri-Sun,72,54
R00727,Copenhagen,Gothenburg,06:50,11:04,RE,"Mon,Wed,Fri",53,39
R00732,Copenhagen,Hamburg,15:35,22:46,Intercités,"Mon,Wed,Fri",149,105
R00734,Copenhagen,Malmö,05:10,07:41,Thalys,Mon-Fri,99,73
R00735,Copenhagen,Malmö,16:40,20:28,RegioExpress,"Tue,Thu",42,33
R00738,Copenhagen,Odense,13:45,15:47,Eurostar,"Tue,Thu",97,59
R00745,Cork,Galway,07:50,13:30,RE,"Tue,Thu",71,54
R00749,Cork,Limerick,05:25,08:27,RegioExpress,"Tue,Thu",53,38
R00753,Cork,Reading,14:10,16:15,AVE,Mon-Fri,79,55
R00754,Cuenca,Alicante,12:50,15:29,RJX,"Mon,Wed,Fri",84,53
R00755,Cuenca,Alicante,13:20,14:56,AVE,Sat-Sun,46,31
R00765,Cuenca,Valencia,19:25,05:47 (+1d),Nightjet,Daily,358,187
R00767,Cádiz,Badajoz,19:45,22:31,RE,"Tue,Thu",38,30
R00770,Cádiz,Córdoba,12:00,15:46,RE,"Tue,Thu",57,47
R00774,Cádiz,Seville,19:35,22:03,Frecciarossa,Daily,85,58
R00775,Cádiz,Seville,10:35,12:35,Railjet,Sat-Sun,86,63
R00781,Córdoba,Granada,09:15,14:29,RE,Sat-Sun,63,51
R00782,Córdoba,Granada,10:10,11:56,TGV,Mon-Fri,76,48
R00784,Córdoba,Málaga,07:55,10:11,Eurostar,Fri-Sun,72,45
R00787,Córdoba,Seville,08:25,10:52,RJX,"Tue,Thu",86,56
R00788,Córdoba,Seville,14:35,16:17,InterCity,"Tue,Thu",36,26
R00790,Debrecen,Budapest,08:35,10:44,Italo,Sat-Sun,69,48
R00791,Debrecen,Budapest,05:50,09:58,InterCity,"Tue,Thu",109,78
R00793,Debrecen,Košice,09:45,12:25,Railjet,"Tue,Thu",91,64
R00794,Debrecen,Košice,21:35,08:59 (+1d),Nightjet,"Mon,Wed,Fri",336,211
R00796,Debrecen,Pécs,13:25,18:18,TER,Fri-Sun,57,44
R00797,Debrecen,Pécs,19:35,21:05,TGV,Sat-Sun,51,31
R00799,Debrecen,Szeged,15:50,17:44,InterCity,Fri-Sun,45,30
R00800,Debrecen,Szeged,07:35,10:23,Eurostar,"Tue,Thu",120,89
R00802,Derby,Cambridge,18:55,21:07,Frecciarossa,Mon-Fri,59,38
R00805,Derby,Leicester,12:55,15:23,TGV,Daily,84,54
R00809,Derby,Nottingham,15:00,16:48,Thalys,Daily,81,53
R00810,Derby,Oxford,10:05,13:10,IC,Mon-Fri,95,64
R00811,Derby,Oxford,12:20,15:15,Italo,Mon-Fri,127,85
R00813,Dijon,Annecy,13:15,15:35,Thalys,"Tue,Thu",62,42
R00814,Dijon,Annecy,07:25,10:15,Frecciarossa,Daily,96,60
R00817,Dijon,Chambéry,09:00,13:11,RE,Sat-Sun,66,54
R00819,Dijon,Reims,15:35,19:03,EuroCity,Fri-Sun,78,51
R00820,Dijon,Reims,06:50,09:44,RegioExpress,Mon-Fri,39,28
R00822,Dijon,Strasbourg,19:20,21:18,InterCity,Fri-Sun,50,32
R00824,Dortmund,Bochum,11:35,14:01,Frecciarossa,Sat-Sun,74,52
R00825,Dortmund,Bochum,19:55,05:42 (+1d),Nightjet,Daily,305,198
R00828,Dortmund,Bonn,16:50,18:42,Thalys,Fri-Sun,66,46
R00829,Dortmund,Bonn,05:55,08:40,AVE,Fri-Sun,81,54
R00832,Dortmund,Düsseldorf,05:20,06:47,Eurostar,"Tue,Thu",46,30
R00835,Dortmund,Essen,15:20,17:20,Eurostar,Sat-Sun,64,43
R00838,Drammen,Bergen,19:10,21:42,IC,Daily,64,41
R00839,Drammen,Bergen,07:10,10:08,Eurostar,Fri-Sun,121,83
R00850,Drammen,Trondheim,10:40,13:17,AVE,"Tue,Thu",97,69
R00851,Drammen,Trondheim,12:20,14:42,Eurostar,Mon-Fri,112,72
R00857,Dresden,Leipzig,17:10,20:02,TGV,Fri-Sun,71,50
R00858,Dresden,Leipzig,15:30,17:26,ICE,"Tue,Thu",87,56
R00860,Dresden,Potsdam,09:30,11:35,EuroCity,"Mon,Wed,Fri",36,28
R00861,Dresden,Potsdam,19:05,06:21 (+1d),Nightjet,Fri-Sun,381,210
R00865,Dresden,Rostock,08:45,11:48,Italo,Daily,101,65
R00867,Dublin,Brighton,19:15,20:34,RJX,Daily,61,41
R00871,Dublin,Cork,10:30,13:34,RJX,Fri-Sun,123,77
R00872,Dublin,Cork,12:00,15:29,Italo,Daily,95,58
R00875,Dublin,Galway,12:35,18:01,RegioExpress,Fri-Sun,73,55
R00878,Dublin,Reading,18:30,20:19,AVE,Mon-Fri,45,30
R00879,Dublin,Reading,11:10,13:58,InterCity,Fri-Sun,70,47
R00882,Düsseldorf,Bonn,09:55,12:07,AVE,Fri-Sun,66,46
R00883,Düsseldorf,Bonn,12:05,13:25,TGV,"Tue,Thu",59,43
R00887,Düsseldorf,Dortmund,18:35,20:15,Railjet,"Tue,Thu",43,31
R00888,Düsseldorf,Dortmund,10:30,11:58,Eurostar,Sat-Sun,47,34
R00890,Düsseldorf,Essen,16:40,19:46,IC,Daily,99,71
R00891,Düsseldorf,Essen,13:40,16:43,Frecciarossa,Sat-Sun,100,74
R00893,Edinburgh,Bristol,06:15,08:05,Railjet,"Mon,Wed,Fri",60,39
R00895,Edinburgh,Glasgow,13:45,16:24,RJX,Sat-Sun,97,68
R00898,Edinburgh,Newcastle,07:40,10:56,InterCity,Daily,71,47
R00899,Edinburgh,Newcastle,07:25,09:54,TGV,"Tue,Thu",107,75
R00901,Edinburgh,York,06:15,08:03,TER,Sat-Sun,31,25
R00902,Edinburgh,York,08:00,09:08,Eurostar,Fri-Sun,44,30
R00905,Eindhoven,The Hague,17:25,19:23,InterCity,Mon-Fri,49,36
R00907,Eindhoven,Utrecht,17:35,20:11,Railjet,Daily,76,54
R00908,Eindhoven,Utrecht,12:20,13:39,AVE,Fri-Sun,58,35
R00911,Essen,Bochum,08:00,09:38,TGV,Mon-Fri,54,39
R00915,Essen,Dortmund,14:35,17:15,Italo,"Mon,Wed,Fri",82,56
R00917,Essen,Düsseldorf,09:00,11:38,Railjet,"Mon,Wed,Fri",106,71
R00920,Essen,Hannover,15:35,18:18,ICE,Fri-Sun,79,49
R00921,Essen,Hannover,06:45,11:49,RegioExpress,Fri-Sun,57,44
R00925,Exeter,Cardiff,12:30,14:20,Eurostar,"Tue,Thu",68,41
R00926,Exeter,Nottingham,09:10,12:57,RegioExpress,Mon-Fri,61,44
R00927,Exeter,Nottingham,12:15,13:42,Intercités,"Tue,Thu",39,30
R00930,Exeter,Plymouth,20:30,07:16 (+1d),Nightjet,Daily,372,199
R00931,Exeter,Swansea,19:00,20:29,RegioExpress,"Tue,Thu",24,19
R00932,Exeter,Swansea,18:40,22:36,RE,Sat-Sun,54,41
R00934,Ferrara,Forlì,12:20,15:03,Railjet,Sat-Sun,116,82
R00935,Ferrara,Forlì,07:55,11:12,Thalys,"Tue,Thu",100,64
R00937,Ferrara,Ravenna,17:00,19:46,Intercités,Sat-Sun,66,50
R00941,Ferrara,Rome,06:15,07:35,Frecciarossa,Fri-Sun,50,34
R00943,Ferrara,Terni,09:45,13:52,RE,Fri-Sun,46,37
R00947,Florence,Arezzo,19:20,04:40 (+1d),Nightjet,Fri-Sun,283,161
R00948,Florence,Arezzo,19:35,22:15,RJX,Mon-Fri,103,64
R00949,Florence,Bologna,10:10,12:30,Eurostar,Fri-Sun,107,72
R00950,Florence,Bologna,13:45,16:22,Frecciarossa,Mon-Fri,64,41
R00956,Florence,Perugia,09:20,11:42,TGV,"Tue,Thu",73,51
R00959,Florence,Pisa,09:10,11:56,Italo,Sat-Sun,75,50
R00960,Florence,Pisa,14:45,18:10,RE,Sat-Sun,61,47
R00963,Florence,Rome,08:30,10:29,AVE,Fri-Sun,69,49
R00972,Forlì,Ferrara,16:20,17:49,ICE,Sat-Sun,55,39
R00974,Forlì,Ravenna,13:30,15:29,Thalys,"Tue,Thu",71,46
R00980,Frankfurt,Cologne,06:05,07:58,RJX,Sat-Sun,63,45
R00982,Frankfurt,Heidelberg,19:50,22:24,TGV,Fri-Sun,139,85
R00983,Frankfurt,Heidelberg,15:00,16:33,InterCity,Fri-Sun,67,45
R00987,Frankfurt,Mannheim,07:05,09:13,Frecciarossa,Sat-Sun,77,56
R00996,Galway,Dublin,12:05,14:12,ICE,"Mon,Wed,Fri",55,38
R00997,Galway,Dublin,11:35,14:16,TER,Mon-Fri,47,34
R01001,Galway,Waterford,07:35,09:42,Railjet,Sat-Sun,81,57
R01002,Galway,Waterford,09:05,10:54,InterCity,Fri-Sun,37,28
R01004,Gdańsk,Gdynia,10:30,13:30,RJX,"Tue,Thu",130,81
R01008,Gdańsk,Poznań,11:35,16:46,RE,Mon-Fri,79,63
R01009,Gdańsk,Poznań,18:40,21:39,Frecciarossa,"Mon,Wed,Fri",112,82
R01011,Gdańsk,Sopot,15:30,18:03,AVE,"Mon,Wed,Fri",89,64
R01014,Gdańsk,Warsaw,07:30,11:09,TGV,Sat-Sun,133,80
R01016,Gdańsk,Wrocław,15:15,16:52,InterCity,"Tue,Thu",44,34
R01020,Gdynia,Gdańsk,20:55,07:36 (+1d),Nightjet,Fri-Sun,337,206
R01021,Gdynia,Poznań,17:05,20:10,Railjet,"Tue,Thu",126,90
R01022,Gdynia,Poznań,10:30,14:09,RE,Sat-Sun,30,24
R01023,Gdynia,Sopot,10:55,14:09,RJX,"Mon,Wed,Fri",124,76
R01027,Gdynia,Warsaw,09:35,10:20,AVE,"Mon,Wed,Fri",36,26
R01040,Geneva,Lyon,12:10,14:42,Eurostar,Fri-Sun,94,60
R01042,Geneva,St. Gallen,18:25,21:35,Intercités,"Tue,Thu",62,44
R01043,Geneva,St. Gallen,14:05,16:47,IC,"Tue,Thu",61,42
R01045,Geneva,Zurich,19:45,07:35 (+1d),Nightjet,"Tue,Thu",316,181
R01046,Geneva,Zurich,17:00,19:19,Thalys,"Mon,Wed,Fri",87,52
R01054,Genoa,Pisa,20:55,08:40 (+1d),Nightjet,"Mon,Wed,Fri",370,220
R01055,Genoa,Pisa,09:15,12:23,RE,Mon-Fri,50,37
R01059,Ghent,Antwerp,12:45,16:46,TER,"Mon,Wed,Fri",73,55
R01060,Ghent,Antwerp,14:50,18:03,ICE,Mon-Fri,110,76
R01063,Ghent,Bruges,19:25,04:18 (+1d),Nightjet,Mon-Fri,234,137
R01064,Ghent,Bruges,13:25,18:25,RegioExpress,"Mon,Wed,Fri",83,62
R01070,Ghent,Liège,08:10,09:36,Frecciarossa,"Mon,Wed,Fri",43,29
R01071,Ghent,Liège,19:15,23:15,RegioExpress,Sat-Sun,47,37
R01072,Glasgow,Bristol,17:10,18:49,ICE,Sat-Sun,80,52
R01075,Glasgow,Cardiff,09:20,13:43,RE,Sat-Sun,49,41
R01076,Glasgow,Cardiff,11:25,12:59,IC,Daily,52,40
R01082,Glasgow,York,05:40,08:22,Intercités,Fri-Sun,78,50
R01086,Gothenburg,Copenhagen,09:35,11:51,Frecciarossa,"Mon,Wed,Fri",71,47
R01087,Gothenburg,Copenhagen,06:35,08:31,Eurostar,Daily,67,44
R01090,Gothenburg,Helsingborg,13:50,17:07,TER,Sat-Sun,53,40
R01091,Gothenburg,Helsingborg,15:15,16:31,AVE,Mon-Fri,61,38
R01092,Gothenburg,Lund,08:30,09:35,Thalys,Daily,37,27
R01095,Gothenburg,Oslo,11:10,16:13,Thalys,Daily,207,140
R01100,Gothenburg,Uppsala,07:25,09:29,IC,"Mon,Wed,Fri",39,27
R01103,Granada,Almería,16:00,18:07,Frecciarossa,Daily,109,65
R01107,Granada,Córdoba,05:35,07:59,TGV,Daily,94,69
R01108,Granada,Córdoba,09:55,11:33,AVE,"Tue,Thu",71,44
R01114,Graz,Innsbruck,10:05,12:39,AVE,Sat-Sun,92,60
R01117,Graz,Linz,08:50,10:59,AVE,"Tue,Thu",55,41
R01119,Graz,Salzburg,14:45,17:30,RE,"Mon,Wed,Fri",39,31
R01120,Graz,Salzburg,11:45,13:08,EuroCity,Fri-Sun,34,23
R01121,Graz,Vienna,19:05,20:04,ICE,Sat-Sun,44,27
R01132,Grenoble,Clermont-Ferrand,12:30,14:41,InterCity,Sat-Sun,59,44
R01136,Grenoble,Lyon,18:10,23:33,RegioExpress,Mon-Fri,82,61
R01137,Grenoble,Lyon,18:15,02:58 (+1d),Nightjet,Mon-Fri,283,154
R01140,Hamburg,Amsterdam,06:55,09:17,Frecciarossa,Mon-Fri,81,56
R01141,Hamburg,Amsterdam,10:00,13:05,Italo,"Tue,Thu",112,82
R01143,Hamburg,Bremen,15:35,17:42,Railjet,"Tue,Thu",60,42
R01150,Hamburg,Kiel,11:30,15:11,Intercités,Daily,87,66
R01151,Hamburg,Kiel,17:20,20:45,Frecciarossa,"Mon,Wed,Fri",102,72
R01155,Hamburg,Rostock,12:10,16:04,TER,Mon-Fri,63,49
R01161,Hannover,Bremen,12:05,14:28,RJX,Sat-Sun,75,52
R01163,Hannover,Essen,08:40,09:40,AVE,Daily,68,41
R01166,Hannover,Hamburg,13:30,15:21,EuroCity,"Tue,Thu",60,38
R01170,Heidelberg,Bonn,13:40,14:58,RJX,Mon-Fri,52,35
R01171,Heidelberg,Cologne,12:45,16:03,IC,Fri-Sun,97,64
R01174,Heidelberg,Frankfurt,08:25,09:31,AVE,Mon-Fri,68,41
R01175,Heidelberg,Frankfurt,09:20,12:37,Italo,Sat-Sun,128,85
R01176,Heidelberg,Würzburg,09:00,12:46,IC,"Tue,Thu",86,65
R01179,Helsingborg,Gothenburg,18:00,06:34 (+1d),Nightjet,Fri-Sun,396,264
R01181,Helsingborg,Lund,18:35,20:26,Thalys,Sat-Sun,57,41
R01182,Helsingborg,Lund,18:05,06:25 (+1d),Nightjet,Sat-Sun,347,219
R01184,Helsingborg,Malmö,05:25,06:42,ICE,"Tue,Thu",61,38
R01190,Helsinki,Bergen,15:10,19:26,RegioExpress,"Mon,Wed,Fri",74,61
R01191,Helsinki,Bergen,13:40,15:50,Thalys,"Tue,Thu",76,56
R01196,Helsinki,Tampere,11:30,12:56,Eurostar,Fri-Sun,64,42
R01198,Helsinki,Turku,12:45,15:27,RE,Daily,47,38
R01199,Helsinki,Turku,12:15,15:02,Intercités,Daily,70,49
R01204,Iași,Katowice,14:35,18:36,IC,"Tue,Thu",82,52
R01205,Iași,Katowice,19:40,23:46,TER,Fri-Sun,66,54
R01208,Iași,Krakow,15:05,17:22,EuroCity,"Mon,Wed,Fri",50,33
R01211,Iași,Timișoara,16:15,18:19,ICE,"Tue,Thu",62,44
R01212,Iași,Timișoara,17:10,19:57,Frecciarossa,Fri-Sun,106,63
R01215,Innsbruck,Graz,11:10,13:43,TGV,"Tue,Thu",111,74
R01216,Innsbruck,Graz,10:00,12:27,Eurostar,"Tue,Thu",80,55
R01218,Innsbruck,Lugano,10:30,14:14,Intercités,Daily,95,67
R01219,Innsbruck,Lugano,15:15,16:29,ICE,"Tue,Thu",65,47
R01221,Innsbruck,Salzburg,16:50,20:49,Intercités,Mon-Fri,62,44
R01222,Innsbruck,Salzburg,15:50,18:41,ICE,Fri-Sun,89,65
R01227,Karlsruhe,Frankfurt,10:05,11:55,TER,"Mon,Wed,Fri",28,21
R01228,Karlsruhe,Frankfurt,21:25,09:54 (+1d),Nightjet,Daily,412,247
R01231,Karlsruhe,Mannheim,17:20,20:10,EuroCity,Daily,79,51
R01232,Karlsruhe,Mannheim,15:55,17:44,RegioExpress,Daily,22,17
R01235,Karlsruhe,Regensburg,17:30,19:16,AVE,Sat-Sun,82,57
R01241,Katowice,Iași,19:55,21:57,Frecciarossa,Daily,55,41
R01248,Katowice,Poznań,06:00,09:15,Intercités,Daily,88,57
R01253,Kiel,Bremen,14:45,16:45,Italo,Sat-Sun,96,60
R01257,Kiel,Hamburg,18:10,20:45,Railjet,Mon-Fri,112,68
R01260,Kiel,Leipzig,15:50,17:57,Thalys,Sat-Sun,86,53
R01263,Kiel,Rostock,15:30,18:08,Italo,"Mon,Wed,Fri",68,48
R01264,Kiel,Rostock,09:00,10:48,RE,Daily,32,24
R01268,Košice,Bratislava,09:10,11:29,RegioExpress,Daily,26,21
R01271,Košice,Budapest,10:40,13:43,ICE,Sat-Sun,83,58
R01272,Košice,Budapest,06:40,08:28,TGV,"Mon,Wed,Fri",59,37
R01273,Košice,Debrecen,06:40,09:22,Railjet,"Mon,Wed,Fri",112,70
R01274,Košice,Debrecen,06:30,07:22,Eurostar,Fri-Sun,48,34
R01276,Košice,Ostrava,08:50,13:48,RegioExpress,Daily,85,66
R01277,Košice,Ostrava,12:40,15:52,Intercités,Fri-Sun,63,49
R01281,Krakow,Iași,11:50,14:45,RJX,Fri-Sun,88,61
R01289,Krakow,Timișoara,12:25,14:59,Frecciarossa,Sat-Sun,108,72
R01290,Krakow,Warsaw,12:25,14:28,Italo,Mon-Fri,71,49
R01291,Krakow,Warsaw,10:45,13:41,InterCity,Sat-Sun,80,58
R01294,Krakow,Wrocław,07:05,08:35,Eurostar,"Tue,Thu",72,49
R01295,Krakow,Wrocław,14:20,17:09,IC,"Mon,Wed,Fri",77,51
R01298,L'Aquila,Naples,15:20,16:58,Thalys,"Mon,Wed,Fri",50,35
R01299,L'Aquila,Rome,18:50,20:26,Thalys,Mon-Fri,61,41
R01302,L'Aquila,Salerno,14:20,16:40,Eurostar,Daily,83,52
R01303,L'Aquila,Salerno,14:35,17:41,Frecciarossa,"Tue,Thu",125,78
R01306,L'Aquila,Terni,10:40,13:57,EuroCity,Mon-Fri,80,56
R01308,La Rochelle,Bordeaux,08:45,11:57,Railjet,Fri-Sun,86,59
R01313,La Rochelle,Limoges,07:25,09:57,TGV,Mon-Fri,80,59
R01315,La Rochelle,Poitiers,14:30,17:44,AVE,"Mon,Wed,Fri",92,61
R01323,La Spezia,Livorno,15:55,18:36,Italo,Fri-Sun,76,53
R01325,La Spezia,Piacenza,10:10,12:06,ICE,"Mon,Wed,Fri",49,33
R01332,Lausanne,Bern,12:15,13:44,RJX,"Tue,Thu",54,36
R01333,Lausanne,Bern,14:55,16:13,EuroCity,Sat-Sun,36,26
R01334,Lausanne,Geneva,18:40,21:57,Eurostar,"Mon,Wed,Fri",107,71
R01335,Lausanne,Geneva,11:20,14:24,RE,Daily,53,44
R01339,Le Mans,Angers,05:00,08:49,TER,"Mon,Wed,Fri",60,46
R01340,Le Mans,Angers,19:50,22:40,Railjet,Mon-Fri,86,59
R01348,Le Mans,Tours,06:15,07:24,Frecciarossa,"Mon,Wed,Fri",43,27
R01349,Le Mans,Tours,10:45,12:21,ICE,"Tue,Thu",45,28
R01352,Leeds,Birmingham,16:30,21:41,RegioExpress,"Mon,Wed,Fri",78,62
R01353,Leeds,Birmingham,18:30,22:42,RE,"Tue,Thu",47,39
R01355,Leeds,Liverpool,13:05,15:45,Thalys,Sat-Sun,101,72
R01357,Leeds,Manchester,13:55,15:51,TGV,Sat-Sun,107,65
R01358,Leeds,Manchester,13:05,15:21,RE,Daily,42,31
R01360,Leeds,Sheffield,09:05,10:42,Thalys,"Mon,Wed,Fri",71,47
R01361,Leeds,Sheffield,12:50,15:03,Frecciarossa,Daily,100,65
R01363,Leicester,Cambridge,09:35,12:08,InterCity,Fri-Sun,68,47
R01365,Leicester,Derby,11:25,13:56,TGV,Sat-Sun,85,60
R01371,Leicester,Plymouth,18:40,21:31,TGV,Daily,90,56
R01372,Leicester,Plymouth,09:35,12:54,InterCity,Daily,70,51
R01373,Leipzig,Berlin,17:20,19:39,ICE,"Tue,Thu",82,61
R01374,Leipzig,Berlin,17:50,21:23,TER,Mon-Fri,53,43
R01382,Leipzig,Kiel,12:05,16:22,RE,Mon-Fri,46,36
R01384,Leipzig,Rostock,18:20,21:11,Eurostar,Mon-Fri,69,46
R01385,Leipzig,Rostock,06:05,08:52,TGV,Daily,93,62
R01388,Lille,Amiens,05:30,07:01,RJX,"Mon,Wed,Fri",60,37
R01391,Lille,Ashford,09:45,11:30,EuroCity,Daily,35,26
R01396,Lille,Calais,07:50,10:50,Intercités,"Mon,Wed,Fri",52,36
R01397,Lille,Calais,16:50,18:10,Eurostar,Mon-Fri,70,47
R01398,Lille,London,11:25,14:18,Railjet,"Mon,Wed,Fri",66,49
R01406,Lille,Rouen,16:55,17:46,AVE,"Mon,Wed,Fri",51,35
R01407,Lille,Rouen,09:25,10:32,EuroCity,Daily,36,25
R01409,Limerick,Cork,18:00,23:46,TER,Daily,77,58
R01410,Limerick,Cork,16:20,19:01,RegioExpress,Sat-Sun,25,20
R01412,Limerick,Galway,18:00,20:40,Thalys,Mon-Fri,106,63
R01413,Limerick,Galway,19:40,21:26,TER,Sat-Sun,25,20
R01414,Limerick,Waterford,11:20,13:03,ICE,"Mon,Wed,Fri",68,46
R01415,Limerick,Waterford,09:10,11:19,Eurostar,Sat-Sun,69,44
R01417,Limoges,Bordeaux,13:35,16:04,AVE,Sat-Sun,102,64
R01420,Limoges,Clermont-Ferrand,15:55,18:41,Italo,Fri-Sun,90,61
R01422,Limoges,La Rochelle,19:00,21:14,Frecciarossa,Mon-Fri,84,53
R01423,Limoges,La Rochelle,10:45,13:42,Italo,Daily,105,78
R01426,Limoges,Lyon,19:35,04:16 (+1d),Nightjet,"Mon,Wed,Fri",256,156
R01429,Linköping,Norrköping,14:45,17:03,Eurostar,"Mon,Wed,Fri",71,50
R01445,Linz,Munich,11:45,14:44,Railjet,"Mon,Wed,Fri",121,89
R01446,Linz,Munich,07:20,10:44,RJX,Daily,134,81
R01447,Linz,Salzburg,12:25,13:48,Thalys,Daily,57,39
R01448,Linz,Salzburg,09:25,12:00,EuroCity,Mon-Fri,71,50
R01449,Linz,Vienna,09:40,10:55,RJX,Mon-Fri,45,29
R01451,Lisbon,Madrid,15:35,21:22,InterCity,"Tue,Thu",114,75
R01457,Lisbon,Vigo,11:05,12:19,RJX,Daily,65,44
R01459,Liverpool,Leeds,10:15,11:40,AVE,"Tue,Thu",53,35
R01462,Liverpool,Manchester,09:50,11:52,Railjet,Daily,80,48
R01466,Liverpool,Newcastle,08:30,10:33,ICE,Daily,85,63
R01467,Liverpool,Newcastle,09:00,11:04,Intercités,Mon-Fri,31,23
R01473,Livorno,Arezzo,15:25,17:27,TGV,Mon-Fri,63,44
R01474,Livorno,Arezzo,07:35,10:13,AVE,Sat-Sun,87,58
R01476,Livorno,Florence,07:50,09:35,RJX,Daily,73,52
R01477,Livorno,Florence,16:10,18:37,TER,Daily,42,34
R01480,Livorno,La Spezia,13:15,14:52,Frecciarossa,"Tue,Thu",54,35
R01481,Livorno,La Spezia,14:05,15:41,RJX,Mon-Fri,54,35
R01482,Livorno,Pisa,16:10,19:16,Thalys,Daily,139,92
R01484,Liège,Amsterdam,15:50,18:50,InterCity,Mon-Fri,62,48
R01487,Liège,Bruges,15:55,18:32,Eurostar,Mon-Fri,108,71
R01488,Liège,Ghent,10:10,12:14,InterCity,Daily,34,26
R01491,Liège,Rotterdam,19:50,21:07,AVE,"Mon,Wed,Fri",44,30
R01492,Ljubljana,Maribor,14:30,17:09,Thalys,"Mon,Wed,Fri",83,56
